Rank,City,State,2010 Actual
199,Hartford , Connecticut ," 124,775.00 "
200,Visalia , California ," 124,442.00 "
201,Gainesville , Florida ," 124,354.00 "
202,Simi Valley , California ," 124,237.00 "
203,Stamford , Connecticut ," 122,643.00 "
204,Bellevue , Washington ," 122,363.00 "
205,Concord , California ," 122,067.00 "
206,Miramar , Florida ," 122,041.00 "
207,Coral Springs , Florida ," 121,096.00 "
208,Lafayette[y] , Louisiana ," 120,623.00 "
209,Charleston , South Carolina ," 120,083.00 "
210,Carrollton , Texas ," 119,097.00 "
211,Roseville , California ," 118,788.00 "
212,Thornton , Colorado ," 118,772.00 "
213,Beaumont , Texas ," 118,296.00 "
214,Allentown , Pennsylvania ," 118,032.00 "
215,Surprise , Arizona ," 117,517.00 "
216,Evansville , Indiana ," 117,429.00 "
217,Abilene , Texas ," 117,063.00 "
218,Frisco , Texas ," 116,989.00 "
219,Independence , Missouri ," 116,830.00 "
220,Santa Clara , California ," 116,468.00 "
221,Springfield , Illinois ," 116,250.00 "
222,Vallejo , California ," 115,942.00 "
223,Victorville , California ," 115,903.00 "
224,Athens[z] , Georgia ," 115,452.00 "
225,Peoria , Illinois ," 115,007.00 "
226,Lansing , Michigan ," 114,297.00 "
227,Ann Arbor , Michigan ," 113,934.00 "
228,El Monte , California ," 113,475.00 "
229,Denton , Texas ," 113,383.00 "
230,Berkeley , California ," 112,580.00 "
231,Provo , Utah ," 112,488.00 "
232,Downey , California ," 111,772.00 "
233,Midland , Texas ," 111,147.00 "
234,Norman , Oklahoma ," 110,925.00 "
235,Waterbury , Connecticut ," 110,366.00 "
236,Costa Mesa , California ," 109,960.00 "
237,Inglewood , California ," 109,673.00 "
238,Manchester , New Hampshire ," 109,565.00 "
239,Murfreesboro , Tennessee ," 108,755.00 "
240,Columbia , Missouri ," 108,500.00 "
241,Elgin , Illinois ," 108,188.00 "
242,Clearwater , Florida ," 107,685.00 "
243,Miami Gardens , Florida ," 107,167.00 "
244,Rochester , Minnesota ," 106,769.00 "
245,Pueblo , Colorado ," 106,595.00 "
246,Lowell , Massachusetts ," 106,519.00 "
247,Wilmington , North Carolina ," 106,476.00 "
248,Arvada , Colorado ," 106,433.00 "
249,Ventura[ab] , California ," 106,433.00 "
250,Westminster , Colorado ," 106,114.00 "
251,West Covina , California ," 106,098.00 "
252,Gresham , Oregon ," 105,594.00 "
253,Fargo , North Dakota ," 105,549.00 "
254,Norwalk , California ," 105,549.00 "
255,Carlsbad , California ," 105,328.00 "
256,Fairfield , California ," 105,321.00 "
257,Cambridge , Massachusetts ," 105,162.00 "
258,Wichita Falls , Texas ," 104,553.00 "
259,High Point , North Carolina ," 104,371.00 "
260,Billings , Montana ," 104,170.00 "
261,Green Bay , Wisconsin ," 104,057.00 "
262,West Jordan , Utah ," 103,712.00 "
263,Richmond , California ," 103,701.00 "
264,Murrieta , California ," 103,466.00 "
265,Burbank , California ," 103,340.00 "
266,Palm Bay , Florida ," 103,190.00 "
267,Everett , Washington ," 103,019.00 "
268,Antioch , California ," 102,372.00 "
269,South Bend , Indiana ," 101,168.00 "
270,Daly City , California ," 101,123.00 "
271,Centennial , Colorado ," 100,377.00 "
272,Temecula , California ," 100,097.00 "
273,Odessa , Texas ," 99,940.00 "
274,West Palm Beach , Florida ," 99,919.00 "
275,Round Rock , Texas ," 99,887.00 "
276,Pompano Beach , Florida ," 99,845.00 "
277,Davenport , Iowa ," 99,685.00 "
278,Santa Maria , California ," 99,553.00 "
279,El Cajon , California ," 99,478.00 "
280,Richardson , Texas ," 99,223.00 "
281,Rialto , California ," 99,171.00 "
282,Broken Arrow , Oklahoma ," 98,850.00 "
283,Las Cruces , New Mexico ," 97,618.00 "
284,North Charleston , South Carolina ," 97,471.00 "
285,Lakeland , Florida ," 97,422.00 "
286,Boulder , Colorado ," 97,385.00 "
287,San Mateo , California ," 97,207.00 "
288,Tyler , Texas ," 96,900.00 "
289,Clovis , California ," 95,631.00 "
290,Lewisville , Texas ," 95,290.00 "
291,College Station , Texas ," 93,857.00 "
292,Sandy Springs , Georgia ," 93,853.00 "
293,Vista , California ," 93,834.00 "
294,San Angelo , Texas ," 93,200.00 "
295,Greeley , Colorado ," 92,889.00 "
296,Vacaville , California ," 92,428.00 "
297,Kent , Washington ," 92,411.00 "
298,Davie[ac] , Florida ," 91,992.00 "
299,Hillsboro , Oregon ," 91,611.00 "
300,Lee's Summit , Missouri ," 91,364.00 "
301,Macon[w] , Georgia ," 91,351.00 "
302,Pearland , Texas ," 91,252.00 "
303,Renton , Washington ," 90,927.00 "
304,Tuscaloosa , Alabama ," 90,468.00 "
305,Sparks , Nevada ," 90,264.00 "
306,Spokane Valley , Washington ," 89,755.00 "
307,Chico , California ," 86,187.00 "
308,Allen , Texas ," 84,246.00 "
309,League City , Texas ," 83,560.00 "
310,Nampa , Idaho ," 81,557.00 "
311,Carmel , Indiana ," 79,191.00 "
312,Sugar Land , Texas ," 78,817.00 "
313,Edinburg , Texas ," 77,100.00 "
314,Bend , Oregon ," 76,639.00 "
315,Meridian , Idaho ," 75,092.00 "
316,Jurupa Valley , California , -   
317,South Fulton , Georgia , -   
