Rank,City,State,2020 Estimate
213,New Haven , Connecticut ," 130,801.00 "
214,Kent , Washington ," 130,676.00 "
215,Concord , California ," 128,544.00 "
216,Elizabeth , New Jersey ," 128,382.00 "
217,Lafayette[y] , Louisiana ," 126,535.00 "
218,Athens[z] , Georgia ," 126,391.00 "
219,Thousand Oaks , California ," 126,310.00 "
220,Norman , Oklahoma ," 125,762.00 "
221,Odessa , Texas ," 125,413.00 "
222,Fargo , North Dakota ," 125,209.00 "
223,Simi Valley , California ," 125,168.00 "
224,Victorville , California ," 124,982.00 "
225,Wilmington , North Carolina ," 124,794.00 "
226,Columbia , Missouri ," 124,769.00 "
227,Topeka , Kansas ," 124,558.00 "
228,Abilene , Texas ," 124,407.00 "
229,Pearland , Texas ," 123,562.00 "
230,Berkeley , California ," 122,726.00 "
231,Arvada , Colorado ," 121,936.00 "
232,Hartford , Connecticut ," 121,535.00 "
233,Allentown , Pennsylvania ," 121,470.00 "
234,Meridian , Idaho ," 121,182.00 "
235,Richardson , Texas ," 121,112.00 "
236,Vallejo , California ," 120,747.00 "
237,Rochester , Minnesota ," 119,862.00 "
238,Ann Arbor , Michigan ," 119,280.00 "
239,College Station , Texas ," 119,260.00 "
240,Cambridge , Massachusetts ," 119,192.00 "
241,North Charleston , South Carolina ," 118,752.00 "
242,Evansville , Indiana ," 118,407.00 "
243,Sugar Land , Texas ," 117,875.00 "
244,Clovis , California ," 117,662.00 "
245,Fairfield , California ," 117,580.00 "
246,Lansing , Michigan ," 117,540.00 "
247,Palm Bay , Florida ," 116,932.00 "
248,Independence , Missouri ," 116,774.00 "
249,Clearwater , Florida ," 116,552.00 "
250,West Jordan , Utah ," 116,530.00 "
251,Murrieta , California ," 116,522.00 "
252,Provo , Utah ," 116,295.00 "
253,Carlsbad , California ," 115,599.00 "
254,Beaumont , Texas ," 115,473.00 "
255,Lakeland , Florida ," 115,283.00 "
256,Westminster , Colorado ," 115,046.00 "
257,Temecula , California ," 113,878.00 "
258,Springfield , Illinois ," 113,671.00 "
259,High Point , North Carolina ," 113,565.00 "
260,West Palm Beach , Florida ," 112,782.00 "
261,Pueblo , Colorado ," 112,751.00 "
262,Manchester , New Hampshire ," 112,546.00 "
263,Everett , Washington ," 112,482.00 "
264,Costa Mesa , California ," 112,366.00 "
265,Pompano Beach , Florida ," 112,360.00 "
266,El Monte , California ," 112,344.00 "
267,Lewisville , Texas ," 112,232.00 "
268,Broken Arrow , Oklahoma ," 111,648.00 "
269,Antioch , California ," 111,605.00 "
270,Hillsboro , Oregon ," 110,985.00 "
271,Lowell , Massachusetts ," 110,904.00 "
272,Elgin , Illinois ," 110,196.00 "
273,Centennial , Colorado ," 110,156.00 "
274,Richmond , California ," 110,038.00 "
275,Gresham , Oregon ," 110,031.00 "
276,Sandy Springs , Georgia ," 109,928.00 "
277,Jurupa Valley , California ," 109,745.00 "
278,Billings , Montana ," 109,736.00 "
279,Peoria , Illinois ," 109,428.00 "
280,Allen , Texas ," 109,379.00 "
281,Downey , California ," 109,202.00 "
282,Miami Gardens , Florida ," 109,131.00 "
283,Greeley , Colorado ," 108,958.00 "
284,League City , Texas ," 108,477.00 "
285,Tyler , Texas ," 108,222.00 "
286,Boulder , Colorado ," 107,645.00 "
287,Inglewood , California ," 107,203.00 "
288,Ventura[ab] , California ," 107,110.00 "
289,Sparks , Nevada ," 106,900.00 "
290,Waterbury , Connecticut ," 106,621.00 "
291,Davie[ac] , Florida ," 106,306.00 "
292,Daly City , California ," 105,868.00 "
